frameTime,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,participant_id
0.0,22.95749,0.1701138,19.91689,22.17316,25.58138,5.664488,173.7112,361.944,73.88936,235.1024,0.0709592,1.397112,0.01756526,0.02685126,0.1095511,0.09198583,2.245553,1.890448,1.678156,1.715564,0.02319903,1.292322,1.153296,1.061892,4.805354,0.5028434,3.522117,1.611381,22.78238,0.3497327,510.9948,0.2732651,1364.769,0.1370349,-166.7446,-0.4379966,1473.868,0.1514907,-168.8216,-0.4044879,2476.259,0.08491194,-170.0487,-0.3858168,-15.83773,-0.4319164,25.64973,0.2770341,0.01227262,1.840009,-0.01330992,-1.313525,-17.41797,28.78645,-0.01567689,0.01389134,0.7740189,0.6933056,0.2437097,0.2448503,1.195182,2.866166,317
0.0,21.49525,0.1868083,18.85979,20.16804,23.27396,4.414169,122.9314,248.8928,32.67135,64.91772,0.09370101,1.380857,0.01773697,0.0278203,0.1586079,0.140871,3.121687,2.597163,2.300779,2.18667,0.02524811,1.518264,1.095385,1.100722,4.667637,0.5240151,3.341464,1.482071,28.41363,0.2969692,513.4402,0.296697,1408.429,0.1289979,-158.4756,-0.5001342,1462.192,0.1396652,-161.1534,-0.4590594,2432.419,0.09228487,-163.105,-0.4310344,-17.95463,-0.3612534,28.60945,0.233749,0.004870767,4.564624,-0.01524308,-1.050403,-17.87289,29.41227,-0.01924678,0.01509803,0.8871667,0.7937857,0.2649893,0.2661876,0.9807758,2.425683,318
0.0,22.63025,0.1783611,19.42816,21.73073,25.72378,6.295618,152.8956,297.997,33.88865,70.84672,0.05280134,1.150405,0.0172091,0.0256094,0.0859623,0.06875321,1.027096,1.694299,0.777171,1.306001,0.02610915,1.598317,0.990284,1.018514,5.164736,0.4863622,8.014476,1.083458,25.70527,0.3426865,487.5472,0.3147279,1401.603,0.1458076,-162.0882,-0.469797,1444.078,0.151536,-164.4575,-0.4321302,2372.969,0.09204434,-165.4343,-0.4176742,-17.38387,-0.3530524,25.64583,0.2677725,0.01080223,2.072042,-0.008229489,-1.973974,-13.61202,23.83926,-0.01053984,0.01906817,0.2559991,0.7709964,0.252271,0.2442686,1.035695,2.215168,319
0.0,32.75333,0.1389438,30.16943,32.79631,35.89302,5.723593,187.9921,331.4505,91.99003,195.8442,0.07894135,1.628286,0.01909001,0.02855497,0.09535547,0.07626545,2.815384,2.418192,2.545408,2.545193,0.02836845,1.888098,1.022903,1.060557,8.593361,0.3690478,7.240008,1.486217,26.41899,0.448693,590.8601,0.2747723,1444.593,0.1380213,-170.8847,-0.4015647,1549.211,0.1464536,-171.1908,-0.3826035,2552.363,0.08931303,-172.4352,-0.363764,-16.4283,-0.4603155,26.8775,0.3261283,0.02384556,1.151764,-0.01375516,-1.085999,-18.96115,30.18817,-0.02651658,0.01262276,0.683962,0.7863618,0.1991831,0.1997486,1.067558,1.967431,320
0.0,31.05019,0.1030606,29.96604,31.13583,32.3993,2.43326,293.65,484.7538,75.6412,212.5689,0.05037893,1.079352,0.01867166,0.02347676,0.07784726,0.0591756,1.339476,1.041688,1.132046,0.9255338,0.02715859,2.055774,1.100906,1.048183,8.09431,0.3616206,6.226074,1.315001,28.37158,0.353016,606.2854,0.2377484,1440.246,0.1258971,-161.7295,-0.4698847,1595.41,0.1313015,-163.7498,-0.4357047,2605.179,0.09769237,-165.3706,-0.4123436,-16.08251,-0.4330578,27.06877,0.3389937,0.03304669,0.6758406,-0.008628918,-1.670625,-13.71761,25.4429,-0.007076296,0.01794347,1.129105,1.046432,0.1862093,0.1388167,0.7602243,2.135254,321
0.0,24.9923,0.1441962,23.53044,25.03608,27.19171,3.661266,231.0028,308.7186,94.58566,188.854,0.07064602,1.151386,0.01793152,0.02643527,0.1280738,0.1101423,1.636868,1.890711,1.236579,1.928533,0.04164935,1.992993,1.320354,0.9270191,5.581669,0.4378095,6.763082,0.9195,30.66915,0.2641499,480.7651,0.2530673,1364.788,0.1246659,-150.3999,-0.545764,1463.384,0.156322,-154.2772,-0.4884177,2409.313,0.08651917,-155.648,-0.4693658,-21.73539,-0.3301645,30.10379,0.2452369,0.00556152,4.091158,-0.01196159,-1.425864,-15.25162,26.40601,-0.01218212,0.01752153,0.5930722,0.9550734,0.20712,0.1749116,0.59447,1.752807,322
0.0,20.83933,0.137472,18.9196,20.54215,22.4157,3.496107,120.3331,253.8895,38.35352,117.3159,0.07219333,1.211288,0.01978983,0.03054161,0.1263876,0.1065978,1.57899,1.631692,1.198454,1.429778,0.03102914,1.057095,1.143963,0.906422,3.989416,0.4536273,7.011055,1.236478,24.0269,0.3528581,464.9512,0.2804514,1348.205,0.1432671,-157.8452,-0.4968677,1426.71,0.1265182,-160.2798,-0.4605882,2440.55,0.07660263,-161.6666,-0.4407393,-16.68213,-0.3936475,25.89333,0.2802511,-0.005617734,-4.244303,-0.005534356,-2.807967,-17.52058,29.20708,-0.02258269,0.01872489,0.67102,0.8485857,0.2563235,0.2398673,0.9225585,2.020683,324
0.0,32.78407,0.07310084,31.39747,32.34126,33.90559,2.508116,95.60123,203.6613,46.99096,204.7719,0.103075,0.9751301,0.0191681,0.0621047,0.1849208,0.1657528,2.393118,1.578036,2.101566,1.639477,0.02205185,1.784178,0.9256268,1.195043,9.233001,0.3073035,5.879764,1.293399,26.13333,0.3165298,606.5213,0.2591828,1408.519,0.1343612,-129.5145,-0.7003028,1584.399,0.1535771,-132.6282,-0.6409678,2590.175,0.09191961,-135.5306,-0.5997949,-16.37679,-0.4343312,27.50053,0.3100316,0.03233464,0.7540374,-0.01346999,-1.199439,-14.50592,26.21135,-0.01242704,0.01631413,1.886879,1.142936,0.21873,0.1732082,0.35867,1.495558,325
0.0,24.18879,0.1663568,21.50466,23.32453,25.94151,4.436846,183.4264,331.4943,79.18332,215.713,0.06184358,1.404576,0.01818164,0.02256993,0.09071831,0.07253668,1.612722,1.490416,1.323921,1.401679,0.02627546,1.395545,1.042535,1.091293,5.647295,0.3717862,7.558105,1.096936,27.58831,0.2944768,499.1285,0.3025423,1407.327,0.1398153,-169.9679,-0.4074349,1456.273,0.1510455,-171.3873,-0.3817078,2429.774,0.08954048,-172.504,-0.3644847,-18.39991,-0.3753583,27.54168,0.2425195,0.0006598817,39.0914,-0.01024685,-1.556245,-17.19849,29.35945,-0.01879959,0.01761476,0.6135671,0.6822668,0.2305451,0.248388,1.240407,2.62828,326
0.0,33.4527,0.08793473,31.83707,33.25479,35.23631,3.399242,283.1516,416.9903,33.79862,63.87694,0.07748006,1.305726,0.01875662,0.0281671,0.1221076,0.103351,1.946065,1.406646,1.622463,1.326869,0.02338366,1.913823,0.9782926,0.9875611,8.931956,0.3623559,4.778995,1.556097,24.44213,0.3694987,623.9274,0.2342995,1433.792,0.1372528,-150.6981,-0.5580028,1606.469,0.1392311,-152.2023,-0.5244573,2575.429,0.08773983,-154.2166,-0.495648,-13.59435,-0.4962576,24.15102,0.3351944,0.03563689,0.6410599,-0.01235565,-1.157903,-14.77984,26.37142,-0.007163985,0.01699134,1.056126,0.9004906,0.2846003,0.2381962,0.8268341,2.440543,327
